Blend/Single Origin,Country of Origin,Country of Origin Mod,Desc 1,Desc 2,Desc 3,location City,Location Country,Location State,Name,Origin,Review Date,Roast,Roaster,Slug,Acid,Aftertaste,Aroma,Body,Cost 12Oz,Flavor,Latitude,Location Latitude,Location Longitude,Longitude,Origin Latitude,Origin Longitude,Rating,Selected Measure,With Milk
Single Origin,Colombia,Colombia,"Candy-like, chocolaty. Jolly Roger candy, baking chocolate, bay leaf, crisped rice, cedar in aroma and cup. Tart-leaning structure with brisk acidity; full, satiny mouthfeel. Crisply tart finish with fruit and aromatic wood impulses.
","Produced by Jairo Arcila and Cofinet of Finca Santa Monica entirely of the Castillo variety of Arabica, and processed by an experimental fruit maceration process in which the whole fruit is first fermented in an anaerobic (limited oxygen) environment with wine yeasts and macerated fruit. After fermentation, the coffee cherries are pulped and placed to dry on raised beds with macerated fruits until the ideal moisture content is achieved. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.
","A very sweet experimental Colombia cup that suggests the flavor of certain hard candies, complicated by a pleasing tartness and crisp, bracing chocolate.
",JerseyCity,USA,New Jersey,Colombia Castillo Fruit Maceration Series (Grape),"Armenia, Quindio Department, Colombia",22-Oct,Light,modcup coffee,https://www.coffeereview.com/review/colombia-castillo-fruit-maceration-series-grape/,8,8,9,9,37.5,9,40.7215682,40.7215682,-74.047455,-74.047455,6.1561777,-75.7870472,86,86,
Single Origin,Colombia,Colombia,"Powerfully aromatic, fruit-centered. Passionfruit, lychee, ginger flower, almond brittle, kumquat in aroma and cup. Sweet-tart structure with apple-toned, malic acidity; full, syrupy mouthfeel. Exceptionally harmonious and integrated finish into the far long.
","Produced by Jairo Arcila and Cofinet of Finca Santa Monica entirely of the Castillo variety of Arabica, and processed by an experimental fruit maceration process in which the whole fruit is first fermented in an anaerobic (limited oxygen) environment with wine yeasts and macerated fruit. After fermentation, the coffee cherries are pulped and placed to dry on raised beds with macerated fruits until the ideal moisture content is achieved. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.","High-toned, explicitly and cleanly fruit-forward, leading with notes of passionfruit and lychee — tropics in a cup.
",JerseyCity,USA,New Jersey,Colombia Castillo Fruit Maceration Series (Passionfruit),"Armenia, Quindio Department, Colombia",22-Oct,Medium-Light,modcup coffee,https://www.coffeereview.com/review/colombia-castillo-fruit-maceration-series-passionfruit/,9,9,9,9,37.5,9,40.7215682,40.7215682,-74.047455,-74.047455,6.1561777,-75.7870472,90,90,
Single Origin,Colombia,Colombia,"Elegantly floral, richly sweet. White peach, lilac, cocoa nib, lemon-thyme, oak in aroma and cup. Sweet-tart structure with vivacious, juicy acidity; plush, syrupy mouthfeel. Gently fruit-driven finish with notes of lemon-thyme and oak.
","Produced by Jairo Arcila and Cofinet of Finca Santa Monica entirely of the Castillo variety of Arabica, and processed by an experimental fruit maceration process in which the whole fruit is first fermented in an anaerobic (limited oxygen) environment with wine yeasts and macerated fruit. After fermentation, the coffee cherries are pulped and placed to dry on raised beds with macerated fruits until the ideal moisture content is achieved. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.
","A fruit-forward, experimentally processed Colombia fermented with macerated peaches, a method that amplifies the stone fruit inclinations of the cup.
",JerseyCity,USA,New Jersey,Colombia Castillo Fruit Maceration Series (Peach),"Armenia, Quindio Department, Colombia",22-Oct,Medium-Light,modcup coffee,https://www.coffeereview.com/review/colombia-castillo-fruit-maceration-series-peach/,9,8,9,9,37.5,9,40.7215682,40.7215682,-74.047455,-74.047455,6.1561777,-75.7870472,88,88,
Single Origin,Colombia,Colombia,"Sweetly tart, delicately bright. Berry melange, narcissus, cocoa nib, amber, agave syrup in aroma and cup. Brightly tart with brisk acidity; creamy, viscous mouthfeel. The long, resonant finish is flavor-saturated, balanced and complex.
","Produced by Jairo Arcila and Cofinet of Finca Santa Monica entirely of the Castillo variety of Arabica, and processed by an experimental fruit maceration process in which the whole fruit is first fermented in an anaerobic (limited oxygen) environment with wine yeasts and macerated fruit. After fermentation, the coffee cherries are pulped and placed to dry on raised beds with macerated fruits until the ideal moisture content is achieved. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.
","While the co-fermentation with strawberries is not obvious in the cup, there’s an overt berry throughline here that isn’t afraid to take over — an invocation of summer desserts.
",JerseyCity,USA,New Jersey,Colombia Castillo Fruit Maceration Series (Strawberry),"Armenia, Quindio Department, Colombia",22-Oct,Medium-Light,modcup coffee,https://www.coffeereview.com/review/colombia-castillo-fruit-maceration-series-strawberry/,8,9,9,9,37.5,9,40.7215682,40.7215682,-74.047455,-74.047455,6.1561777,-75.7870472,88,88,
Single Origin,Colombia,Colombia,"Deeply sweet-savory. Watermelon candy (Jolly Rancher), chocolate fudge, oregano, cedar, hint of teriyaki sauce in aroma and cup. Savory-leaning structure with brisk acidity; lightly satiny mouthfeel. Salty, chocolaty finish.","Produced by the Bayter Brothers of El Vergel Estate entirely of the Caturra variety of Arabica, and processed by the anaerobic natural method (fermented in the whole fruit in a hermetically sealed vessel). Cafe Kreyol is a roaster in Manassas, Virginia with the mission of creating sustainable employment by way of specialty coffee. Visit www.cafekreyol.com or call 571-719-7018 for more information.","Almost dessert-like in its sweetness, this anaerobically processed Caturra exhibits candy-like aromas and flavors with a savory edge.Explore Similar CoffeesClick here for more reviews from Cafe KreyolClick here for more information about coffees from Colombia ",Manassas,USA,Virginia,Colombia Caturra Anaerobic Natural,"Tolima Department, Colombia",22-Feb,Medium-Light,Cafe Kreyol,https://www.coffeereview.com/review/colombia-caturra-anaerobic-natural/,8,8,9,8,37.42,9,38.7509488,38.7509488,-77.4752667,-77.4752667,8.646141,-74.198658,84,84,
Single Origin,Colombia,Colombia,"Richly spiced-toned, elegantly aromatic. Ginger blossom, nutmeg, lavender, lemon verbena, baking chocolate in aroma and cup. Malic (apple-like) acidity; silky, viscous mouthfeel. Spice-toned finish into the long. ","Produced by Diego Bermudez of Finca El Paraiso, entirely of the Castillo K-01 variety of Arabica, and processed by the double-anaerobic washed method, in which the fermentation step occurs in a hermetically sealed vessel (and includes the addition of alcohols yeasts) before the beans are washed and dried. Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information. ","An herbal tea-like aromatic profile with notes of baking spices and sweet florals characterizes this inviting, double-anaerobic Colombia.Explore Similar CoffeesClick here for more reviews from Jaunt Coffee RoastersClick here for more information about coffees from ColombiaVisit Jaunt Coffee Roasters ",SanDiego,USA,California,Colombia Cauca Castillo K-01,"Cauca Department, Colombia",24-May,Medium-Light,Jaunt Coffee Roasters,https://www.coffeereview.com/review/colombia-cauca-castillo-k-01/,9,8,9,9,54,9,32.7174202,32.7174202,-117.162772,-117.162772,2.901584,-77.695993,88,88,
Single Origin,Colombia,Colombia,"Very sweet, complexly fruit-forward. Red plum, mango, freesia, cocoa nib, nougat in aroma and cup. Sparkling acidity; crisp, satiny mouthfeel. Cocoa-toned, fruity finish.","Produced by Diego Bermudez of Finca El Paraiso, entirely of the Castillo YN-05 variety of Arabica, and processed by a complexly detailed version of the double-anaerobic method (sealed-tank fermentation of the whole fruit with the addition of yellow-fruit yeast, removal of skin and pulp, and a second fermentation of the beans shut in the tank with the removed skin and pulp). Additional processing nuance includes a thermal shock wash (soaking the whole fruit in hot water for 30 seconds, then cold water for 30 seconds) to reduce astringency. Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information. ","A very sweet, very clean anaerobic cup fermented with yellow-fruit yeast for a subtle yet distinctive brightness.Explore Similar CoffeesClick here for more reviews from Jaunt Coffee RoastersClick here for more information about coffees from ColombiaVisit Jaunt Coffee Roasters ",SanDiego,USA,California,Colombia Cauca Castillo YN-05,"Cauca Department, Colombia",24-May,Light,Jaunt Coffee Roasters,https://www.coffeereview.com/review/colombia-cauca-castillo-yn-05/,9,8,9,8,54,9,32.7174202,32.7174202,-117.162772,-117.162772,2.901584,-77.695993,86,86,
Single Origin,Colombia,Colombia,"Brightly sweet, deeply fruit- and cocoa-toned. Raspberry jam, dark chocolate, thyme, peach, frankincense in aroma and cup. Balanced, vibrant acidity;very silky, very smooth mouthfeel. Jammy cocoa-toned finish.","Produced by Wilton Benitez of Granja Paraiso 92, entirely of the Pink Bourbon variety of Arabica, and processed by the thermal shock method, in which the coffee fruit, after having been first sanitized with ozone, undergoes two stages of fermentation. First, the whole cherries are submerged under water for 48 hours, then the beans are pulped and fermented with a strain of Lactobacillus for 24 hours. After fermentation, the beans are given a “thermal shock” using hot and cold rinses to help the beans absorb the fermentation metabolites and halt any further fermentation. Afterward, the washed parchment coffee is rapidly dried with an in-house designed Eco-Enigma dehumidifying dryer to avoid over-oxidation or continued fermentation. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit www.bargain-cafe.com for more information. ","A nuanced, complex, invitingly rich Colombia anaerobic Pink Bourbon with grace, depth and balance.Explore Similar CoffeesClick here for more reviews from Bargain CafeClick here for more information about coffees from ColombiaVisit Bargain Cafe ",Taitung,Taiwan,,Colombia Cauca Finca EI Paraiso 92 Pink Bourbon,"Piendamó, Cauca Department, Colombia",24-May,Light,Bargain Cafe,https://www.coffeereview.com/review/colombia-cauca-finca-ei-paraiso-92-pink-bourbon/,9,9,9,9,32.66,9,22.7560447,22.7560447,121.1456538,121.1456538,2.6404294,-76.5325746,90,90,
Single Origin,Colombia,Colombia,"Tropical fruit-toned. Mango, orange zest, dark chocolate, marjoram, oak in aroma and cup. Very sweet structure with brisk acidity; plush, syrupy mouthfeel. Chocolaty, fruity finish.","Produced by Diego Bermudez of Finca al Paraiso, from trees of the Castillo, Colombia and Caturra varieties of Arabica, and processed by the double-anaerobi washed method, in which the coffee fruit, after having been first sanitized with ozone, undergoes two stages of fermentation. First, the whole cherries are submerged under water for 48 hours, then the beans are pulped and fermented with a strain of Lactobacillus for 24 hours. After fermentation, the beans are given a “thermal shock” using hot and cold rinses to help the beans absorb the fermentation metabolites and halt any further fermentation. Afterward, the washed parchment coffee is rapidly dried with an in-house designed Eco-Enigma dehumidifying dryer to avoid over-oxidation or continued fermentation. Lee Dong Coffee is a specialty coffee roaster and cafe in Taichung, Taiwan. Visit www.facebook.com/LiDongcoffee/ for more information.",A tropically fruity anaerobic Colombia with undertones of dark chocolate throughout.Explore Similar CoffeesClick here for more reviews from Lee Dong CoffeeClick here for more information about coffees from Colombia,Taichung,Taiwan,,Colombia Cauca Finca El Paraiso Double Anaerobic Flor Lichi,"Cauca Department, Colombia",23-Oct,Light,Lee Dong Coffee,https://www.coffeereview.com/review/colombia-cauca-finca-el-paraiso-double-anaerobic-flor-lichi/,8,8,9,9,24.96,9,24.163162,24.163162,120.6478282,120.6478282,2.901584,-77.695993,86,86,
Single Origin,Colombia,Colombia,"Resonantly floral, fruit-driven. Narcissus, pomegranate, amber, dark chocolate in aroma and cup. Sweetly tart structure with gently bright, fruity acidity; lively, viscous mouthfeel. The rich, concentrated finish centers around notes of pomegranate and dark chocolate with lush undertones of amber. 
","Produced by Diego Bermudez entirely of the Castillo variety of Arabica, and processed by the double-anaerobic washed method, in which the fermentation step occurs in a hermetically sealed vessel before the beans are washed and dried. JYL Cafe is a specialty coffee roaster and cafe in Changhua, Taiwan. Visit https://line.me/ti/p/5YHFz4U0tW for more information.",This Colombia anaerobic offers and unrestrained experience of sweet-tart fruit and rich florals that play off each other in synergistic harmony.,Changhua,Taiwan,,Colombia Cauca Finca El Paraiso Double-Anaerobic Flor Lychee,"Cauca Department, Colombia",22-Oct,Medium-Light,JYL Cafe,https://www.coffeereview.com/review/colombia-cauca-finca-el-paraiso-double-anaerobic-flor-lychee/,9,9,9,9,28.53,9,24.0807667,24.0807667,120.5423,120.5423,2.901584,-77.695993,90,90,
Single Origin,Colombia,Colombia,"Richly aromatic, gently tart. Tamarind, magnolia, oak, pistachio, pink grapefruit zest in aroma and cup. Sweetly tarty structure with gently brisk acidity; crisp, satiny mouthfeel. Gently drying finish centered around notes of tamarind and oak with pistachio undertones.
","Produced by Diego Bermudez entirely of the Castillo variety of Arabica, and processed by the double-anaerobic washed method, in which the fermentation step occurs in a hermetically sealed vessel before the beans are washed and dried. Rubasse Coffee Roaster is a specialty roaster based in New Taipei City, Taiwan. Visit rubasseroasters.com/ for more information.
",A Colombia anaerobic with tart fruit notes at the top of the profile and richly sweet floral undertones.,NewTaipeiCity,Taiwan,,Colombia Cauca Finca El Paraiso Rose Tea,"Cauca Department, Colombia",22-Oct,Light,Rubasse Coffee Roaster,https://www.coffeereview.com/review/colombia-cauca-finca-el-paraiso-rose-tea/,8,8,9,8,40.97,9,25.0357722,25.0357722,121.4502478,121.4502478,2.901584,-77.695993,84,84,
Single Origin,Colombia,Colombia,"Exuberant yet coherent anaerobic. Butterscotch, blueberry, cocoa, lilac, candycap mushroom in aroma and cup. Sweet, tart and savory impulses balance in a richly expressive structure. Plush, lightly syrupy mouthfeel. Fruit notes consolidate in a long though quiet finish.","Produced by Wilton Benitez of Finca El Paraíso entirely of the rare Pink Bourbon variety of Arabica, and processed by a complexly detailed version of the double-anaerobic method (sealed-tank fermentation of the whole fruit with the addition of brewer’s yeast, removal of skin and pulp, and a second fermentation of the beans shut in the tank with the removed skin and pulp). Additional processing nuance includes a thermal shock wash (soaking the whole fruit in hot water for 30 seconds, then cold water for 30 seconds) to reduce astringency. Reprise Coffee is a quality-oriented small-batch roaster and café located in Lake Forest, Illinois, north of Chicago. Visit reprisecoffee.com for more information.","A fruit-forward but balanced, tangy-rich rendition of the anaerobic style. Explore Similar CoffeesClick here for more reviews from Reprise Coffee RoastersClick here for more information about coffees from Colombia ",LakeForest,USA,Illinois,Colombia Cauca Granja Paraiso 92 – Pink Bourbon,"Piendamo, Cauca Department, Colombia",23-Mar,Light,Reprise Coffee Roasters,https://www.coffeereview.com/review/colombia-cauca-granja-paraiso-92-pink-bourbon/,9,8,9,9,34.99,9,42.2586461,42.2586461,-87.8407055,-87.8407055,2.6404294,-76.5325746,88,88,
Single Origin,Colombia,Colombia,"Elegantly fruit- and cocoa-toned. Strawberry guava, cocoa nib, cane sugar, tea rose, cedar in aroma and cup. Delicately sweet structure with gently bright acidity; crisp, syrupy mouthfeel. A resonant finish centers around notes of cocoa nib and tea rose.","Produced at Finca Cerro Azul (also owners of Granja La Esperanza), entirely of the Enano (dwarf Geisha) variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and southern California and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information.","This rare Enano (dwarf Geisha) excites with high-toned fruit, crisp cocoa, and rich floral notes throughout.Explore Similar CoffeesClick here for more reviews from Equator CoffeesClick here for more information about coffees from ColombiaVisit Equator Coffees ",SanRafael,USA,California,Colombia Cerro Azul Enano,"Trujillo, Valle del Cauca Department, Colombia",22-Oct,Medium-Light,Equator Coffees,https://www.coffeereview.com/review/colombia-cerro-azul-enano-3/,9,8,9,9,26,9,37.9747795,37.9747795,-122.5316686,-122.5316686,4.2123039,-76.3188928,88,88,
Single Origin,Colombia,Colombia,"Richly aromatic, chocolaty, fruit-toned. Dark chocolate, dried mango, honeysuckle, wine barrel, marjoram in aroma and cup. Richly sweet structure with winey acidity; plush, syrupy-smooth mouthfeel. The long, lingering finish centers around notes of dark chocolate and spicy florals.","Produced by Rigoberto Herrera of Granja La Esperanza entirely of the Geisha variety of Arabica, and processed by the natural method (sun-dried in the whole fruit). Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was named the “2012 Micro-Roaster of the Year” by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A trifecta of fruit, chocolate and flowers, both levitatingly sweet and structurally grounded.Explore Similar CoffeesClick here for more reviews from Bird Rock Coffee RoastersClick here for more information about coffees from Colombia ",SanDiego,USA,California,Colombia Cerro Azul Geisha,"Trujillo, Valle del Cauca Department, Colombia",22-Nov,Light,Bird Rock Coffee Roasters,https://www.coffeereview.com/review/colombia-cerro-azul-geisha-2/,9,9,9,9,88.5,9,32.7174202,32.7174202,-117.162772,-117.162772,4.2123039,-76.3188928,90,90,
Single Origin,Colombia,Colombia,"Sweetly spice-toned, delicately aromatic. Ginger blossom, clove, narcissus, cocoa nib, goji berry in aroma and cup. Gently bright, balanced acidity; vibrant, silky mouthfeel. Crisp, cocoa-toned finish supported by notes of ginger blossom and clove.","Produced by the Guerrero, Sepulveda and Trejos families, from trees of the Castillo, Caturra and Colombia varieties of Arabica, and processed by the natural method (dried in the whole fruit). Rusty Dog Coffee is a Madison, Wisconsin-based specialty coffee roaster. Visit www.rustydogcoffee.com for more information.","An enigmatic, complex, natural-processed Colombia driven by notes of warming spices with floral and cocoa tones throughout the profile.Explore Similar CoffeesClick here for more reviews from Rusty Dog CoffeeClick here for more information about coffees from ColombiaVisit Rusty Dog Coffee ",Madison,USA,Wisconsin,Colombia Chachagüí Mild Roast,"Chachagüí, Nariño Department, Colombia",24-Apr,Light,Rusty Dog Coffee,https://www.coffeereview.com/review/colombia-chachagui-mild-roast/,9,8,9,9,21,9,43.074761,43.074761,-89.3837613,-89.3837613,1.582043,-77.88794,88,88,
Single Origin,Colombia,Colombia,"Sweetly spice-toned, uniquely composed. Szechuan peppercorn, lemon balm, dark chocolate, lavender, date in aroma and cup. Winy acidity; crisp, syrupy mouthful. Chocolaty, spice-toned finish.
","Produced by Edwin Noreña of Finca Campo Hermoso, entirely of the Bourbon variety of Arabica, and processed by the carbonic maceration method, as follows: The whole fruit is co-fermented with aji chili must in oxygen-free containers for 96 hours. The fruit is then semi-washed (some of the fruit flesh is left on the bean), then returned to the carbonic fermentation tanks and re-infused with fresh aji chili must for an additional 48 hours. After the secondary carbonic fermentation, the coffee is dried on raised beds for 22 days and then set in a relative humidity-controlled warehouse for a final eight days of repose. Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery, and roasting that foregrounds the coffee and not the roast. Visit www.barringtoncoffee.com or call 800-528-0998 for more information.",A wild ride of a coffee with distinct notes of peppercorn (the coffee was co-fermented with aji chili) that’s also a fruity and fun carbonic-macerated cup.Explore Similar CoffeesClick here for more reviews from Barrington Coffee Roasting Co.Click here for more information about coffees from ColombiaVisit Barrington Coffee Roasting Co.,Lee,USA,Massachusetts,Colombia Chili Bourbon,"Circasia, Quindio, Colombia",23-Sep,Light,Barrington Coffee Roasting Co.,https://www.coffeereview.com/review/colombia-chili-bourbon/,9,8,9,9,33.45,9,42.3073477,42.3073477,-73.2504911,-73.2504911,4.61889,-75.63583,88,88,
Single Origin,Colombia,Colombia,"Floral-toned, super-sweet. Wisteria, cocoa nib, rambutan, black sage, salted caramel in aroma and cup. Malic (apple-like) acidity; plush, viscous mouthfeel. Concentrated finish that carries through on the promise of the cup.","Produced at Finca Granito de Oro, entirely of the Caturra Chiroso variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.","A decadently sweet, richly perfumed Colombia from a lesser-known variety — confident, high-toned, floral and deep. Explore Similar CoffeesClick here for more reviews from modcup coffeeClick here for more information about coffees from ColombiaVisit modcup coffee ",JerseyCity,USA,New Jersey,Colombia Chiroso Caturra Washed,"Urrao Region, Medellin, Antioquia, Colombia",24-Apr,Light,modcup coffee,https://www.coffeereview.com/review/colombia-chiroso-caturra-washed/,9,9,9,9,40.82,9,40.7215682,40.7215682,-74.047455,-74.047455,6.27089,-75.5162,90,90,
Single Origin,Colombia,Colombia,"Crisply sweet-tart, high-toned. Meyer lemon zest, cocoa nib, hazelnut, dried hibiscus flower, marjoram in aroma and cup. Bright, tart-leaning structure with juicy acidity; delicate, silky mouthfeel. Citrusy finish supported by tart florals and cocoa nib.","Produced by Wilson Roldan entirely of the Chiroso variety of Arabica and processed by the natural method (beans are dried in the whole fruit). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","A vibrantly rich Colombia cup from the rare Chiroso variety of Arabica, grown only in parts of Colombia and offered by Paradise for the first time.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from ColombiaVisit Paradise Roasters ",Minneapolis,USA,Minnesota,Colombia Chiroso Natural,"Caicedo, Antioquia Department, Colombia",21-Apr,Light,Paradise Roasters,https://www.coffeereview.com/review/colombia-chiroso-natural/,9,8,9,8,74.85,9,44.9772995,44.9772995,-93.2654692,-93.2654692,6.619788,-75.410934,86,86,
Single Origin,Colombia,Colombia,"Crisply chocolaty, richly nut-toned. Baking chocolate, almond butter, plum, cedar, maple syrup in aroma and cup. Sweet structure with juicy acidity; velvety mouthfeel. The flavorful finish leads with notes of baking chocolate and almond with hints of plum.","Produced by smallholding farmers surrounding the famous Café La Granja La Esperanza farm from trees of the Caturra, Castillo and Colombia varieties of Arabica, and processed by the traditional washed method at La Granja. modcup coffee, founded in 2013, focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.
","A classic washed Colombia cup with crisp stonefruit notes, balanced acidity, a richly sweet structure.Explore Similar CoffeesClick here for more reviews from modcup coffeeClick here for more information about coffees from ColombiaVisit modcup coffee ",JerseyCity,USA,New Jersey,Colombia Cumbarco Lot 397,"Caicedonia, Valle de Cauca Department, Colombia",22-Jun,Medium-Light,modcup coffee,https://www.coffeereview.com/review/colombia-cumbarco-lot-397/,9,8,9,8,20,9,40.7215682,40.7215682,-74.047455,-74.047455,4.3329,-75.8332,86,86,
Single Origin,Colombia,Colombia,"Crisply sweet-tart, fruit-toned. Vanilla yogurt, Ibarra chocolate (chocolate with cinnamon), gardenia, amber, date in aroma and cup. Rich, sweetly tart structure with bright, tangy acidity; syrupy-smooth mouthfeel. Resonant, flavor-laden, long finish.","Produced by Diofanor Ruiz of Buenavista Farm entirely of the Castillo variety of Arabica and processed by the natural method (dried in the whole fruit). Plat Coffee is a specialty roaster and café in Hong Kong. For more information, visit www.platcoffee.com.","A uniquely composed natural-processed coffee with unusual yogurt-like nuance layered with chocolate, fruit and floral suggestions.Explore Similar CoffeesClick here for more reviews from Plat Coffee RoasteryClick here for more information about coffees from Colombia ",Hong Kong,China,,Colombia Diofanor Ruiz,"Quindío Department, Colombia",21-Feb,Medium-Light,Plat Coffee Roastery,https://www.coffeereview.com/review/colombia-diofanor-ruiz/,9,8,9,9,50,9,22.2793278,22.2793278,114.1628131,114.1628131,4.476121,-75.70893,88,88,
Single Origin,Colombia,Colombia,"Elegantly fruit-forward, delicately juicy. Strawberry guava, malted milk balls, freesia-like flowers, pink peppercorn, marjoram in aroma and cup. Balanced, sweet-tart structure with gently bright acidity; plump, satiny mouthfeel. Crisp, sweet finish centered on suggestions of freesia and pink peppercorn.","Produced by José Giraldo and Jorge Correa of Finca San Juan entirely of the Geisha variety of Arabica, and processed by the natural carbonic maceration method, which involves fermenting whole coffee fruit inside a sealed container that has been flushed with CO2, then drying the coffee, still in the whole fruit. Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.","A deep, subtly invigorating carbonic-macerated Colombia Geisha cup with notes of tropical fruit and spicy flowers, complicated by a sweet herbaceousness.Explore Similar CoffeesClick here for more reviews from Roadmap CoffeeWorksClick here for more information about coffees from ColombiaVisit Roadmap CoffeeWorks ",Lexington,USA,Virginia,Colombia Don Correa Gesha,"San Jose, Caldas, Colombia",22-Dec,Light,Roadmap CoffeeWorks,https://www.coffeereview.com/review/colombia-don-correa-gesha/,9,8,9,9,32.95,9,37.7840208,37.7840208,-79.4428157,-79.4428157,5.0808725,-75.7918992,88,88,
Single Origin,Colombia,Colombia,"Elegantly fruit-toned, very juicy. Ripe peach, dark chocolate, blueberry jam, almond butter, a hint of wine barrel in aroma and cup. Sweetly tart structure with bright, malic acidity; very smooth, syrupy mouthfeel. Integrated, harmonious, long finish.","Produced by José Giraldo and Jorge Correa and processed by the anaerobic ferment method at “La Clarita” drying station in Quindío. Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.","A fruit bomb, but a sophisticated one — balanced, inviting, confidently bright — also delicious cold.Explore Similar CoffeesClick here for more reviews from Roadmap CoffeeWorksClick here for more information about coffees from ColombiaVisit Roadmap CoffeeWorks ",Lexington,USA,Virginia,Colombia Don Ruiz Anaerobic,"Caldas, Colombia",22-Aug,Medium-Light,Roadmap CoffeeWorks,https://www.coffeereview.com/review/colombia-don-ruiz-anaerobic/,9,9,9,9,28.5,9,37.7840208,37.7840208,-79.4428157,-79.4428157,5.3302514,-75.2873471,90,90,
Single Origin,Colombia,Colombia,"Fruit-driven, subtly lactic. Grape jelly, pineapple kefir, dark chocolate, amber, salted caramel in aroma and cup. Tangy acidity; creamy-smooth mouthfeel. The lactic-leaning finish gets ballast from dark chocolate notes.","Produced at Finca Los Nogales, entirely of the Yellow Bourbon variety of Arabica, and processed by the washed anaerobic method, in which the fermentation step occurs in a hermetically sealed vessel before the beans are washed and dried.  Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",A uniquely composed anaerobic washed cup with rich chocolate and salted caramel notes juxtaposed with a sweet-tart lactic tang that is remarkably integrated.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from ColombiaVisit Kakalove Cafe,Chia-Yi,Taiwan,,Colombia Double Anaerobic Washed Los Nogales Yellow Bourbon,"Huila Department, Colombia",23-Sep,Light,Kakalove Cafe,https://www.coffeereview.com/review/colombia-double-anaerobic-washed-los-nogales-yellow-bourbon/,9,9,9,9,27.84,9,23.4818972,23.4818972,120.462318,120.462318,2.8,-76.08333,90,90,
Single Origin,Colombia,Colombia,"Tropical, deep, harmonious. Passionfruit, star jasmine, myrrh, cocoa nib, pineapple saltwater taffy in aroma and cup. Bright, juicy acidity; crisp, syrupy mouthfeel. Resonantly fruity and floral finish.
","Produced by Edwin Enrique Noreñ of Finca Campo Hermoso, entirely of the Castillo variety of Arabica, and processed by carbonic maceration (which involves fermenting the whole fruit in a sealed container that has been flushed with CO2) and co-fermenting with Pink Bourbon mosto and passionfruit, then dried with most of the fruit flesh remaining on the beans. Little Waves Coffee is a Latina-owned, women-forward company that provides livable wages for its diverse team. Visit www.littlewaves.coffee for more information.","A floral and fruit extravaganza, with passionfruit and star jasmine notes leading the way, complicated by myrrh-like underpinnings.
",Durham,USA,North Carolina,Colombia Edwin Enrique Noreña / Black Honey Pink Bourbon Mosto & Passionfruit Co-Ferment,"Quindio Department, Colombia",24-Jun,Light,Little Waves Coffee,https://www.coffeereview.com/review/colombia-edwin-enrique-norena-black-honey-pink-bourbon-mosto-passionfruit-co-ferment/,9,8,9,9,40.7,9,35.996653,35.996653,-78.9018053,-78.9018053,4.476121,-75.70893,88,88,
